,order_id,store_id,store_name,store_segment,store_latitude,store_longitude,channel_id,channel_name,channel_type,payment_order_id,payment_method,payment_status,delivery_order_id,delivery_distance_meters,delivery_status,driver_id,driver_modal,driver_type,order_status,order_amount,order_moment_created,order_moment_in_expedition,order_moment_finished,hub_id,hub_name,hub_city,hub_state,hub_latitude,hub_longitude
30,68417799,3265,EAVAMI FIGOI ,FOOD,-23.507105,-46.718196999999996,5,FOOD PLACE,MARKETPLACE,68417799,ONLINE,PAID,68417799,3651.0,DELIVERED,9025.0,MOTOBOY,LOGISTIC OPERATOR,FINISHED,31.0,2021-01-01 15:02:02,2021-01-01 15:40:53,2021-01-01 16:05:18,37,RIVER SHOPPING,SÃO PAULO,SP,-23.507105,-46.718196999999996
32,68418092,3265,EAVAMI FIGOI ,FOOD,-23.507105,-46.718196999999996,5,FOOD PLACE,MARKETPLACE,68418092,ONLINE,PAID,68418092,4665.0,DELIVERED,22901.0,MOTOBOY,FREELANCE,FINISHED,47.8,2021-01-01 15:04:33,2021-01-01 15:54:16,2021-01-01 16:05:47,37,RIVER SHOPPING,SÃO PAULO,SP,-23.507105,-46.718196999999996
33,68418430,707,IUMPICA ,FOOD,-23.579067000000002,-46.594006,5,FOOD PLACE,MARKETPLACE,68418430,ONLINE,PAID,68418430,3768.0,DELIVERED,15561.0,MOTOBOY,FREELANCE,FINISHED,205.5,2021-01-01 15:05:32,2021-01-01 15:25:02,2021-01-01 15:41:35,33,COFFEE SHOPPING,SÃO PAULO,SP,-23.579067000000002,-46.59282
34,68418711,998,TRAZ LOURA RIRMAM ,FOOD,-22.996848,-43.361197,5,FOOD PLACE,MARKETPLACE,68418711,ONLINE,PAID,68418711,3484.0,DELIVERED,12893.0,MOTOBOY,FREELANCE,FINISHED,69.0,2021-01-01 15:06:31,2021-01-01 15:30:41,2021-01-01 15:46:21,20,PURPLE SHOPPING,RIO DE JANEIRO,RJ,-22.996848,-43.359636
35,68419091,236,IUMPICA ,FOOD,-22.885819899999998,-43.2792183,5,FOOD PLACE,MARKETPLACE,68419091,ONLINE,PAID,68419091,709.0,DELIVERED,14059.0,BIKER,FREELANCE,FINISHED,87.35,2021-01-01 15:08:32,2021-01-01 15:26:20,2021-01-01 15:49:30,13,HIP HOP SHOPPING,RIO DE JANEIRO,RJ,-22.885819899999998,-43.2792183
36,68419094,2948,GUIRGUES ,FOOD,-25.438766,-49.266532,5,FOOD PLACE,MARKETPLACE,68419094,ONLINE,PAID,68419094,727.0,DELIVERED,21923.0,MOTOBOY,LOGISTIC OPERATOR,FINISHED,85.6,2021-01-01 15:08:32,2021-01-01 15:31:28,2021-01-01 15:42:09,42,PHP SHOPPING,CURITIBA,PR,-25.4381052,-49.266532
38,68419146,3105,PIGUE PIPACO ,FOOD,-23.622995,-46.699203999999995,5,FOOD PLACE,MARKETPLACE,68419146,"VOUCHER, DEBIT",PAID,68419146,1796.0,DELIVERED,24830.0,BIKER,FREELANCE,FINISHED,43.7,2021-01-01 15:09:04,2021-01-01 15:30:36,2021-01-01 16:31:10,27,SAMPA SHOPPING,SÃO PAULO,SP,-23.622995,-46.699203999999995
40,68419302,1016,PIPS ,FOOD,-30.085743,-51.245996999999996,5,FOOD PLACE,MARKETPLACE,68419302,"VOUCHER, ONLINE",PAID,68419302,2927.0,DELIVERED,15898.0,MOTOBOY,LOGISTIC OPERATOR,FINISHED,38.4,2021-01-01 15:09:52,2021-01-01 15:27:17,2021-01-01 15:37:53,36,BLACK SHOPPING,PORTO ALEGRE,RS,-30.085743,-51.245996999999996
42,68419305,415,IPUPIEMAI ,FOOD,-22.921475,-43.234821999999994,5,FOOD PLACE,MARKETPLACE,68419305,ONLINE,PAID,68419305,995.0,DELIVERED,726.0,BIKER,FREELANCE,FINISHED,190.5,2021-01-01 15:09:53,2021-01-01 15:49:00,2021-01-01 16:08:56,8,GOLDEN SHOPPING,RIO DE JANEIRO,RJ,-22.921475,-43.234774
43,68419373,631,IUMPICA ,FOOD,-23.595775,-46.685984000000005,5,FOOD PLACE,MARKETPLACE,68419373,ONLINE,PAID,68419373,1322.0,DELIVERED,30574.0,BIKER,FREELANCE,FINISHED,155.3,2021-01-01 15:10:11,2021-01-01 15:25:15,2021-01-01 16:05:00,28,RAP SHOPPING,SÃO PAULO,SP,-23.595001,-46.685984000000005
44,68419684,3105,PIGUE PIPACO ,FOOD,-23.622995,-46.699203999999995,5,FOOD PLACE,MARKETPLACE,68419684,"VOUCHER, ONLINE",PAID,68419684,1418.0,DELIVERED,24830.0,BIKER,FREELANCE,FINISHED,34.9,2021-01-01 15:11:17,2021-01-01 15:30:32,2021-01-01 15:55:52,27,SAMPA SHOPPING,SÃO PAULO,SP,-23.622995,-46.699203999999995
46,68419797,415,IPUPIEMAI ,FOOD,-22.921475,-43.234821999999994,5,FOOD PLACE,MARKETPLACE,68419797,ONLINE,PAID,68419797,1389.0,DELIVERED,430.0,BIKER,FREELANCE,FINISHED,117.0,2021-01-01 15:11:32,2021-01-01 15:48:53,2021-01-01 16:06:00,8,GOLDEN SHOPPING,RIO DE JANEIRO,RJ,-22.921475,-43.234774
48,68420053,707,IUMPICA ,FOOD,-23.579067000000002,-46.594006,5,FOOD PLACE,MARKETPLACE,68420053,"VOUCHER, ONLINE",PAID,68420053,4417.0,DELIVERED,9828.0,MOTOBOY,FREELANCE,FINISHED,135.15,2021-01-01 15:12:12,2021-01-01 15:33:30,2021-01-01 15:49:33,33,COFFEE SHOPPING,SÃO PAULO,SP,-23.579067000000002,-46.59282
50,68420308,631,IUMPICA ,FOOD,-23.595775,-46.685984000000005,5,FOOD PLACE,MARKETPLACE,68420308,ONLINE,PAID,68420308,842.0,DELIVERED,6165.0,BIKER,FREELANCE,FINISHED,69.9,2021-01-01 15:12:42,2021-01-01 15:25:11,2021-01-01 15:49:25,28,RAP SHOPPING,SÃO PAULO,SP,-23.595001,-46.685984000000005
51,68420589,3071,PIGUE PIPACO ,FOOD,-23.631835,-46.735203000000006,5,FOOD PLACE,MARKETPLACE,68420589,"VOUCHER, ONLINE",PAID,68420589,2787.0,DELIVERED,30854.0,MOTOBOY,FREELANCE,FINISHED,59.8,2021-01-01 15:14:03,2021-01-01 15:34:54,2021-01-01 15:47:20,31,PAGODE SHOPPING,SÃO PAULO,SP,-23.629826,-46.735203000000006
53,68420592,3060,PIGUE PIPACO ,FOOD,-23.561053,-46.558976,5,FOOD PLACE,MARKETPLACE,68420592,ONLINE,PAID,68420592,2258.0,DELIVERED,12077.0,MOTOBOY,LOGISTIC OPERATOR,FINISHED,62.7,2021-01-01 15:14:03,2021-01-01 15:29:01,2021-01-01 16:19:02,29,SUBWAY SHOPPING,SÃO PAULO,SP,-23.561053,-46.558976
56,68420869,707,IUMPICA ,FOOD,-23.579067000000002,-46.594006,5,FOOD PLACE,MARKETPLACE,68420869,ONLINE,PAID,68420869,4284.0,DELIVERED,9043.0,MOTOBOY,FREELANCE,FINISHED,234.6,2021-01-01 15:14:52,2021-01-01 15:33:27,2021-01-01 15:57:33,33,COFFEE SHOPPING,SÃO PAULO,SP,-23.579067000000002,-46.59282
57,68421071,3265,EAVAMI FIGOI ,FOOD,-23.507105,-46.718196999999996,5,FOOD PLACE,MARKETPLACE,68421071,ONLINE,PAID,68421071,4564.0,DELIVERED,10514.0,MOTOBOY,FREELANCE,FINISHED,61.8,2021-01-01 15:15:32,2021-01-01 16:07:52,2021-01-01 16:20:11,37,RIVER SHOPPING,SÃO PAULO,SP,-23.507105,-46.718196999999996
58,68421547,3091,PIGUE PIPACO ,FOOD,-23.570764999999998,-46.642043,5,FOOD PLACE,MARKETPLACE,68421547,"VOUCHER, ONLINE",PAID,68421547,1793.0,DELIVERED,4190.0,MOTOBOY,FREELANCE,FINISHED,25.9,2021-01-01 15:17:23,2021-01-01 15:28:39,2021-01-01 15:40:33,25,AVENUE SHOPPING,SÃO PAULO,SP,-23.5677027,-46.642043
60,68421551,3105,PIGUE PIPACO ,FOOD,-23.622995,-46.699203999999995,5,FOOD PLACE,MARKETPLACE,68421551,ONLINE,PAID,68421551,1249.0,DELIVERED,23093.0,MOTOBOY,LOGISTIC OPERATOR,FINISHED,35.8,2021-01-01 15:17:25,2021-01-01 15:30:28,2021-01-01 15:45:30,27,SAMPA SHOPPING,SÃO PAULO,SP,-23.622995,-46.699203999999995
61,68421917,3265,EAVAMI FIGOI ,FOOD,-23.507105,-46.718196999999996,5,FOOD PLACE,MARKETPLACE,68421917,ONLINE,PAID,68421917,4283.0,DELIVERED,22901.0,MOTOBOY,FREELANCE,FINISHED,20.9,2021-01-01 15:19:11,2021-01-01 16:32:33,2021-01-01 16:49:35,37,RIVER SHOPPING,SÃO PAULO,SP,-23.507105,-46.718196999999996
62,68421987,149,IUMPICA ,FOOD,-22.921475,-43.234821999999994,5,FOOD PLACE,MARKETPLACE,68421987,ONLINE,PAID,68421987,1683.0,DELIVERED,12136.0,MOTOBOY,FREELANCE,FINISHED,92.35,2021-01-01 15:19:32,2021-01-01 15:38:45,2021-01-01 16:05:35,8,GOLDEN SHOPPING,RIO DE JANEIRO,RJ,-22.921475,-43.234774
63,68422045,2948,GUIRGUES ,FOOD,-25.438766,-49.266532,5,FOOD PLACE,MARKETPLACE,68422045,ONLINE,PAID,68422045,700.0,DELIVERED,24584.0,MOTOBOY,FREELANCE,FINISHED,51.7,2021-01-01 15:20:02,2021-01-01 15:34:15,2021-01-01 15:45:49,42,PHP SHOPPING,CURITIBA,PR,-25.4381052,-49.266532
66,68422092,149,IUMPICA ,FOOD,-22.921475,-43.234821999999994,5,FOOD PLACE,MARKETPLACE,68422092,ONLINE,PAID,68422092,3642.0,DELIVERED,15661.0,MOTOBOY,FREELANCE,FINISHED,143.4,2021-01-01 15:20:23,2021-01-01 15:43:22,2021-01-01 16:06:06,8,GOLDEN SHOPPING,RIO DE JANEIRO,RJ,-22.921475,-43.234774
67,68422281,632,IPUPIEMAI ,FOOD,-23.595775,-46.685984000000005,5,FOOD PLACE,MARKETPLACE,68422281,"ONLINE, ONLINE",PAID,68422281,3667.0,DELIVERED,9996.0,BIKER,FREELANCE,FINISHED,129.7,2021-01-01 15:21:32,2021-01-01 15:43:31,2021-01-01 17:20:43,28,RAP SHOPPING,SÃO PAULO,SP,-23.595001,-46.685984000000005
68,68422281,632,IPUPIEMAI ,FOOD,-23.595775,-46.685984000000005,5,FOOD PLACE,MARKETPLACE,68422281,"ONLINE, ONLINE",PAID,68422281,3667.0,DELIVERED,25651.0,MOTOBOY,LOGISTIC OPERATOR,FINISHED,129.7,2021-01-01 15:21:32,2021-01-01 15:43:31,2021-01-01 17:20:43,28,RAP SHOPPING,SÃO PAULO,SP,-23.595001,-46.685984000000005
69,68422614,1037,IUMPICA ,FOOD,-22.97315,-43.370810999999996,5,FOOD PLACE,MARKETPLACE,68422614,ONLINE,PAID,68422614,1787.0,DELIVERED,26075.0,MOTOBOY,LOGISTIC OPERATOR,FINISHED,168.9,2021-01-01 15:22:43,2021-01-01 15:40:44,2021-01-01 16:08:31,35,BEACH SHOPPING,RIO DE JANEIRO,RJ,-22.96988,-43.370810999999996
70,68422671,998,TRAZ LOURA RIRMAM ,FOOD,-22.996848,-43.361197,5,FOOD PLACE,MARKETPLACE,68422671,MEAL_BENEFIT,PAID,68422671,940.0,DELIVERED,9211.0,BIKER,FREELANCE,FINISHED,150.0,2021-01-01 15:22:52,2021-01-01 15:45:14,2021-01-01 16:51:21,20,PURPLE SHOPPING,RIO DE JANEIRO,RJ,-22.996848,-43.359636
71,68423110,3528,ZIM M MUMEUR ,FOOD,-22.927335999999997,-43.572533,5,FOOD PLACE,MARKETPLACE,68423110,"VOUCHER, ONLINE",PAID,68423110,2625.0,DELIVERED,26879.0,MOTOBOY,LOGISTIC OPERATOR,FINISHED,24.9,2021-01-01 15:23:55,2021-01-01 16:29:09,2021-01-01 16:42:40,51,RUBY SHOPPING,RIO DE JANEIRO,RJ,-22.923675,-43.5677575
73,68423162,495,IUMPICA ,FOOD,-23.5623285,-46.642043,5,FOOD PLACE,MARKETPLACE,68423162,ONLINE,PAID,68423162,2381.0,DELIVERED,14382.0,MOTOBOY,LOGISTIC OPERATOR,FINISHED,107.35,2021-01-01 15:24:12,2021-01-01 15:36:52,2021-01-01 16:08:13,25,AVENUE SHOPPING,SÃO PAULO,SP,-23.5677027,-46.642043
74,68423436,631,IUMPICA ,FOOD,-23.595775,-46.685984000000005,5,FOOD PLACE,MARKETPLACE,68423436,ONLINE,PAID,68423436,5052.0,DELIVERED,8378.0,MOTOBOY,FREELANCE,FINISHED,46.9,2021-01-01 15:25:11,2021-01-01 15:49:31,2021-01-01 18:03:42,28,RAP SHOPPING,SÃO PAULO,SP,-23.595001,-46.685984000000005
75,68423588,495,IUMPICA ,FOOD,-23.5623285,-46.642043,5,FOOD PLACE,MARKETPLACE,68423588,ONLINE,PAID,68423588,1754.0,DELIVERED,8940.0,BIKER,FREELANCE,FINISHED,81.8,2021-01-01 15:25:42,2021-01-01 15:37:01,2021-01-01 16:34:33,25,AVENUE SHOPPING,SÃO PAULO,SP,-23.5677027,-46.642043
76,68423643,399,PIARO ,FOOD,-22.8843321,-43.283366,5,FOOD PLACE,MARKETPLACE,68423643,DEBIT,PAID,68423643,1154.0,DELIVERED,938.0,BIKER,FREELANCE,FINISHED,78.9,2021-01-01 15:25:51,2021-01-01 15:53:02,2021-01-01 16:11:11,13,HIP HOP SHOPPING,RIO DE JANEIRO,RJ,-22.885819899999998,-43.2792183
77,68423762,3728,MU PURGAR ,FOOD,-22.887521,-43.283366,5,FOOD PLACE,MARKETPLACE,68423762,ONLINE,PAID,68423762,1992.0,DELIVERED,4937.0,MOTOBOY,LOGISTIC OPERATOR,FINISHED,85.0,2021-01-01 15:26:16,2021-01-01 15:53:08,2021-01-01 16:08:24,13,HIP HOP SHOPPING,RIO DE JANEIRO,RJ,-22.885819899999998,-43.2792183
78,68423847,149,IUMPICA ,FOOD,-22.921475,-43.234821999999994,5,FOOD PLACE,MARKETPLACE,68423847,ONLINE,PAID,68423847,1976.0,DELIVERED,5250.0,BIKER,FREELANCE,FINISHED,65.4,2021-01-01 15:26:31,2021-01-01 15:42:52,2021-01-01 15:58:24,8,GOLDEN SHOPPING,RIO DE JANEIRO,RJ,-22.921475,-43.234774
79,68424216,3091,PIGUE PIPACO ,FOOD,-23.570764999999998,-46.642043,5,FOOD PLACE,MARKETPLACE,68424216,"ONLINE, ONLINE",PAID,68424216,1452.0,DELIVERED,17322.0,MOTOBOY,LOGISTIC OPERATOR,FINISHED,45.7,2021-01-01 15:27:37,2021-01-01 16:05:15,2021-01-01 17:29:52,25,AVENUE SHOPPING,SÃO PAULO,SP,-23.5677027,-46.642043
80,68424216,3091,PIGUE PIPACO ,FOOD,-23.570764999999998,-46.642043,5,FOOD PLACE,MARKETPLACE,68424216,"ONLINE, ONLINE",PAID,68424216,1452.0,DELIVERED,25651.0,MOTOBOY,LOGISTIC OPERATOR,FINISHED,45.7,2021-01-01 15:27:37,2021-01-01 16:05:15,2021-01-01 17:29:52,25,AVENUE SHOPPING,SÃO PAULO,SP,-23.5677027,-46.642043
81,68424238,632,IPUPIEMAI ,FOOD,-23.595775,-46.685984000000005,5,FOOD PLACE,MARKETPLACE,68424238,ONLINE,PAID,68424238,5389.0,DELIVERED,8378.0,MOTOBOY,FREELANCE,FINISHED,38.0,2021-01-01 15:27:42,2021-01-01 15:44:02,2021-01-01 16:54:53,28,RAP SHOPPING,SÃO PAULO,SP,-23.595001,-46.685984000000005
82,68424433,632,IPUPIEMAI ,FOOD,-23.595775,-46.685984000000005,5,FOOD PLACE,MARKETPLACE,68424433,ONLINE,PAID,68424433,1171.0,DELIVERED,30574.0,BIKER,FREELANCE,FINISHED,125.9,2021-01-01 15:28:22,2021-01-01 15:43:54,2021-01-01 16:19:27,28,RAP SHOPPING,SÃO PAULO,SP,-23.595001,-46.685984000000005
84,68424547,495,IUMPICA ,FOOD,-23.5623285,-46.642043,5,FOOD PLACE,MARKETPLACE,68424547,ONLINE,PAID,68424547,2100.0,DELIVERED,14382.0,MOTOBOY,LOGISTIC OPERATOR,FINISHED,184.6,2021-01-01 15:29:03,2021-01-01 15:50:34,2021-01-01 16:30:25,25,AVENUE SHOPPING,SÃO PAULO,SP,-23.5677027,-46.642043
85,68424656,659,IPUPIEMAI ,FOOD,-23.561053,-46.558976,5,FOOD PLACE,MARKETPLACE,68424656,ONLINE,PAID,68424656,2068.0,DELIVERED,12023.0,BIKER,FREELANCE,FINISHED,74.4,2021-01-01 15:29:42,2021-01-01 15:41:52,2021-01-01 16:03:59,29,SUBWAY SHOPPING,SÃO PAULO,SP,-23.561053,-46.558976
86,68424659,707,IUMPICA ,FOOD,-23.579067000000002,-46.594006,5,FOOD PLACE,MARKETPLACE,68424659,ONLINE,PAID,68424659,4382.0,DELIVERED,29966.0,MOTOBOY,FREELANCE,FINISHED,270.0,2021-01-01 15:29:42,2021-01-01 15:50:27,2021-01-01 16:14:53,33,COFFEE SHOPPING,SÃO PAULO,SP,-23.579067000000002,-46.59282
88,68424858,631,IUMPICA ,FOOD,-23.595775,-46.685984000000005,5,FOOD PLACE,MARKETPLACE,68424858,"ONLINE, ONLINE",PAID,68424858,3617.0,DELIVERED,16430.0,BIKER,FREELANCE,FINISHED,160.7,2021-01-01 15:31:12,2021-01-01 16:10:33,2021-01-01 16:36:48,28,RAP SHOPPING,SÃO PAULO,SP,-23.595001,-46.685984000000005
89,68424858,631,IUMPICA ,FOOD,-23.595775,-46.685984000000005,5,FOOD PLACE,MARKETPLACE,68424858,"ONLINE, ONLINE",PAID,68424858,3617.0,DELIVERED,25651.0,MOTOBOY,LOGISTIC OPERATOR,FINISHED,160.7,2021-01-01 15:31:12,2021-01-01 16:10:33,2021-01-01 16:36:48,28,RAP SHOPPING,SÃO PAULO,SP,-23.595001,-46.685984000000005
